Title,Genre,Premiere,Runtime,IMDB Score,Language
A Secret Love,Documentary,"April 29, 2020",82,7.9,English
A Tale of Two Kitchens,Documentary,"May 22, 2019",30,6.3,English/Spanish
A Very Murray Christmas,Comedy / Musical,"December 4, 2015",56,5.5,English
A Week Away,Christian musical,"March 26, 2021",97,5.7,English
A Whisker Away,Anime/Fantasy,"June 18, 2020",104,6.7,Japanese
After Maria,Documentary,"May 24, 2019",37,4.6,English/Spanish
After the Raid,Documentary,"December 19, 2019",25,4.3,Spanish
Airplane Mode,Comedy,"January 23, 2020",96,5,Portuguese
Ajeeb Daastaans,Drama,"April 16, 2021",142,6.7,Hindi
AK vs AK,Thriller,"December 24, 2020",108,6.9,Hindi
Alex Strangelove,Romantic comedy,"June 8, 2018",99,6.3,English
Alien Xmas,Stop Motion,"November 20, 2020",42,6.2,English
All Because of You,Action comedy,"October 1, 2020",101,4.2,Malay
All Day and a Night,Drama,"May 1, 2020",121,5.8,English
All in My Family,Documentary,"May 3, 2019",39,6.8,English/Mandarin
All the Bright Places,Romance,"February 28, 2020",108,6.5,English
All Together Now,Drama,"August 28, 2020",93,6.5,English
Altered Carbon: Resleeved,Anime/Science fiction,"March 19, 2020",74,6.5,Japanese
Always Be My Maybe,Romantic comedy,"May 31, 2019",102,6.8,English
Amanda Knox,Documentary,"September 30, 2016",92,6.9,English
Amateur,Sports-drama,"April 6, 2018",96,5.9,English
American Factory,Documentary,"August 21, 2019",110,7.4,English
American Factory: A Conversation with the Obamas ,Aftershow / Interview,"August 21, 2019",10,5.2,English
American Murder: The Family Next Door,Documentary,"September 30, 2020",82,7.2,English
American Son,Drama,"November 1, 2019",90,5.8,English
Anelka: Misunderstood,Documentary,"August 5, 2020",94,6.4,French
Angela's Christmas Wish,Animation,"December 1, 2020",47,7.1,English
Angela's Christmas,Animation,"November 30, 2018",30,7.1,English
Anima,Musical / Short,"June 27, 2019",15,7.7,English
Antoine Griezmann: The Making of a Legend,Documentary,"March 21, 2019",60,6.5,French
Apostle,Horror-thriller,"October 12, 2018",129,6.3,English
Arlo the Alligator Boy,Animated musical comedy,"April 16, 2021",92,6.7,English
Army of the Dead,Zombie/Heist,"May 21, 2021",148,5.9,English
ARQ,Science fiction/Thriller,"September 16, 2016",88,6.4,English
Athlete A,Documentary,"June 24, 2020",104,7.6,English
Audrie & Daisy,Documentary,"September 23, 2016",98,7.2,English
Back to School,Comedy,"August 30, 2019",83,5.3,French
Bad Trip,Hidden-camera prank comedy,"March 26, 2021",86,6.6,English
Baggio: The Divine Ponytail,Biopic,"May 26, 2021",92,6.2,Italian
Barry,Biopic,"December 16, 2016",104,5.8,English
Beasts of No Nation,War drama,"October 16, 2015",136,7.7,English/Akan
Beats,Drama,"June 19, 2019",110,7.1,English
Becoming,Documentary,"May 6, 2020",89,6.8,English
Been So Long,Musical,"October 26, 2018",100,5.5,English
Below Zero,Drama,"January 29, 2021",106,6.2,Spanish
Ben Platt: Live from Radio City Music Hall,Concert Film,"May 20, 2020",85,8.4,English
Benji,Family film,"March 16, 2018",87,6.3,English
Between Two Ferns: The Movie,Comedy,"September 20, 2019",82,6.1,English
Bigflo & Oil: Hip Hop Frenzy,Documentary,"October 8, 2020",100,6.9,French
Biggie: I Got a Story to Tell,Documentary,"March 1, 2021",97,6.9,English
Bird Box,Psychological thriller,"December 21, 2018",124,6.6,English
Birders,Documentary,"September 25, 2019",37,6.4,English/Spanish
Blackpink: Light Up the Sky,Documentary,"October 14, 2020",79,7.5,Korean
Blame!,Anime/Science fiction,"May 20, 2017",106,6.7,Japanese
Blue Miracle,Drama,"May 27, 2021",95,6.7,English
Bomb Scared,Black comedy,"October 12, 2017",89,5.6,Spanish/Basque
Brahman Naman,Comedy,"July 7, 2016",95,5.6,English
Brene Brown: The Call to Courage,Documentary,"April 19, 2019",76,7.7,English
Bright,Urban fantasy,"December 22, 2017",117,6.3,English
Bulbbul,Horror,"June 24, 2020",94,6.6,Hindi
Burning Sands,Drama,"March 10, 2017",102,6.1,English
Cadaver,Horror,"October 22, 2020",86,5.1,Norwegian
Calibre,Thriller,"June 29, 2018",101,6.8,English
Cam,Psychological horror,"November 16, 2018",94,5.9,English
Candy Jar,Comedy,"April 27, 2018",92,5.8,English
Canvas ,Animation / Short,"December 11, 2020",9,6.5,English
Cargo,Drama/Horror,"May 18, 2018",104,6.3,English
Casting JonBenet,Documentary,"April 28, 2017",80,6.1,English
Caught by a Wave,Romantic teen drama,"March 25, 2021",99,5.7,Italian
Chadwick Boseman: Portrait of an Artist,Documentary,"April 17, 2021",21,6.5,English
Chasing Coral ,Documentary,"July 14, 2017",89,8.1,English
Choked: Paisa Bolta Hai,Drama,"June 5, 2020",114,5.8,Hindi
Chopsticks,Comedy,"May 31, 2019",100,6.5,Hindi
Christmas Crossfire,Thriller,"December 4, 2020",106,4.8,German
Christmas Inheritance,Romantic drama,"December 15, 2017",104,5.7,English
Circus of Books,Documentary,"April 22, 2020",92,7.1,English
Citation,Drama,"November 6, 2020",151,6.2,English
City of Joy,Documentary,"September 7, 2018",74,7.5,English
Class of '83,Drama,"August 21, 2020",98,5.8,Hindi
Clinical,Thriller,"January 13, 2017",104,5.1,English
Coffee & Kareem,Action comedy,"April 3, 2020",88,5.1,English
Coin Heist,Heist,"January 6, 2017",97,4.8,English
Come Sunday,Biopic,"April 13, 2018",106,6,English
Concrete Cowboy,Drama,"April 2, 2021",111,6.3,English
Cops and Robbers,Animation / Short,"December 28, 2020",7,6.9,English
CounterPunch ,Documentary,"June 16, 2017",91,6.7,English
Crazy About Her,Romantic comedy,"February 26, 2021",102,6.6,Spanish
Crazy Awesome Teachers,Comedy-drama,"August 17, 2020",101,6.2,Indonesian
Crip Camp: A Disability Revolution,Documentary,"March 25, 2020",108,7.7,English
Cuba and the Cameraman ,Documentary,"November 24, 2017",114,8.3,English
Da 5 Bloods,War drama,"June 12, 2020",155,6.5,English
Dad Wanted,Family,"September 11, 2020",102,5.7,Spanish
Dance Dreams: Hot Chocolate Nutcracker,Documentary,"November 27, 2020",80,7.1,English
Dancing with the Birds,Documentary,"October 23, 2019",51,8.3,English
Dangerous Lies,Thriller,"April 30, 2020",97,5.3,English
Dark Forces,Thriller,"August 21, 2020",81,2.6,Spanish
David Attenborough: A Life on Our Planet,Documentary,"October 4, 2020",83,9,English
Dead Kids,Thriller,"December 1, 2019",94,5.5,Filipino
Death Note,Horror thriller,"August 25, 2017",100,4.4,English
Death to 2020,Comedy,"December 27, 2020",70,6.8,English
Deidra & Laney Rob a Train,Drama,"March 17, 2017",94,6.1,English
Derren Brown: Sacrifice,Mentalism special,"October 19, 2018",49,7.1,English
Desperados,Romantic comedy,"July 3, 2020",106,5.2,English
Despite Everything,Comedy,"May 3, 2019",78,5.4,Spanish
Dick Johnson Is Dead,Documentary,"October 2, 2020",90,7.5,English
Disclosure: Trans Lives on Screen,Documentary,"June 19, 2020",107,8.2,English
Dolemite Is My Name,Biopic,"October 25, 2019",118,7.3,English
Dolly Kitty and Those Twinkling Stars,Drama,"September 18, 2020",120,5.4,Hindi
Dolly Parton: A MusiCares Tribute,Documentary,"April 7, 2021",55,6.5,English
Dolly Parton's Christmas on the Square,Christmas musical,"November 22, 2020",98,5.2,English
Double Dad,Comedy-drama,"January 15, 2021",103,5.6,Portuguese
Drive,Action,"November 1, 2019",147,3.5,Hindi
Dude,Teen comedy-drama,"April 20, 2018",97,5.1,English
Earth and Blood,Action,"April 17, 2020",80,4.9,French
Earthquake Bird,Mystery,"November 15, 2019",107,5.9,English
El Camino Christmas,Dark comedy,"December 8, 2017",89,5.7,English
El Camino: A Breaking Bad Movie,Crime drama,"October 11, 2019",121,7.3,English
El Pepe: A Supreme Life,Documentary,"December 27, 2019",73,7.1,Spanish
Eli,Horror,"October 18, 2019",98,5.7,English
Elisa & Marcela,Romance,"June 7, 2019",118,6.6,Spanish
Emicida: AmarElo - It's All For Yesterday,Documentary,"December 8, 2020",89,8.6,Portuguese
End Game,Documentary,"May 4, 2018",40,7.1,English
Enter the Anime,Documentary,"August 5, 2019",58,2.5,English/Japanese
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,"June 26, 2020",123,6.5,English
Evelyn,Documentary,"September 10, 2019",96,7.1,English
Extinction,Science fiction/Thriller,"July 27, 2018",95,5.8,English
Extraction,Action,"April 24, 2020",117,6.7,English
Extremis,Documentary,"September 13, 2016",24,7.3,English
Falling Inn Love,Romantic comedy,"August 29, 2019",97,5.6,English
Fatal Affair,Thriller,"July 16, 2020",89,4.5,English
Father of the Year,Comedy,"July 20, 2018",94,5.2,English
Father Soldier Son,Documentary,"July 17, 2020",100,7.3,English
Fearless,Animation/Superhero,"August 14, 2020",89,4.9,English
Feel the Beat,Family/Comedy-drama,"June 19, 2020",107,6.3,English
Feminists: What Were They Thinking?,Documentary,"October 12, 2018",86,7,English
Ferry,Crime drama,"May 14, 2021",106,7.1,Dutch
Finding 'Ohana,Family,"January 29, 2021",123,6.1,English
Finding Agnes,Drama,"November 30, 2020",105,4.7,Filipino
Fire in Paradise,Documentary,"November 1, 2019",39,7.4,English
Firebrand,Drama,"February 22, 2019",112,5.2,Marathi
First Match,Sports-drama,"March 30, 2018",102,6.4,English
First They Killed My Father,Drama,"September 15, 2017",136,7.2,Khmer/English/French
Forgive Us Our Debts,Drama,"May 4, 2018",104,6,Italian
Fractured,Thriller,"October 11, 2019",100,6.4,English
Freaks: You're One of Us,Supernatural drama,"September 2, 2020",92,5.4,German
Fyre: The Greatest Party That Never Happened,Documentary,"January 18, 2019",97,7.2,English
Gaga: Five Foot Two,Documentary,"September 22, 2017",100,7,English
Geez & Ann,Romantic drama,"February 25, 2021",105,5.1,Indonesian
Gerald's Game,Horror thriller,"September 29, 2017",103,6.5,English
Get Me Roger Stone,Documentary,"May 12, 2017",101,7.3,English
Get the Goat,Comedy,"March 18, 2021",97,6.3,Portuguese
Get the Grift,Comedy,"April 28, 2021",94,5.5,Portuguese
Ghost Lab,Horror,"May 26, 2021",117,5.2,Thai
Ghost Stories,Horror anthology,"January 1, 2020",144,4.3,Hindi
Ghosts of Sugar Land,Documentary,October 16. 2019,21,5.5,English
GIMS: On the Record,Documentary,"September 17, 2020",96,6.8,French
Ginny Weds Sunny,Romantic comedy,"October 9, 2020",125,5.7,Hindi
Girlfriend's Day,Comedy,"February 14, 2017",70,5.2,English
Giving Voice,Documentary,"December 11, 2020",90,6.7,English
Good Sam,Drama,"May 16, 2019",89,5.7,English
Grass Is Greener,Documentary,"April 20, 2019",97,7.1,English
Guillermo Vilas: Settling the Score,Documentary,"October 27, 2020",94,7.1,Spanish
Guilty,Thriller,"March 6, 2020",119,5.4,Hindi
Gunjan Saxena: The Kargil Girl,Drama,"August 12, 2020",112,5.3,Hindi
Handsome: A Netflix Mystery Movie,Comedy,"May 5, 2017",81,5.2,English
Happy Anniversary,Romantic comedy,"March 30, 2018",78,5.8,English
Have a Good Trip: Adventures in Psychedelics,Documentary,"May 11, 2020",85,6.8,English
Have You Ever Seen Fireflies?,Comedy,"April 9, 2021",114,6.2,Turkish
Heroin(e) ,Documentary,"September 12, 2017",39,6.8,English
High Flying Bird,Sports-drama,"February 8, 2019",90,6.2,English
Hillbilly Elegy,Drama,"November 24, 2020",117,6.7,English
His House,Thriller,"October 30, 2020",93,6.5,English
Hold the Dark,Thriller,"September 28, 2018",125,5.6,English
Holidate,Romantic comedy/Holiday,"October 28, 2020",104,6.1,English
Holiday in the Wild,Adventure-romance,"November 1, 2019",85,6.1,English
Holiday Rush,Family film,"November 28, 2019",94,4.9,English
Homecoming: A Film by Beyonce ,Documentary,"April 17, 2019",137,7.5,English
Hope Frozen: A Quest to Live Twice,Documentary,"September 15, 2020",80,6.7,Thia/English
Horse Girl,Drama,"February 7, 2020",104,5.9,English
Hot Girls Wanted,Documentary,"May 29, 2015",84,6.1,English
House Arrest,Comedy,"November 15, 2019",104,5.5,Hindi
How It Ends,Action-thriller,"July 13, 2018",113,5,English
Hubie Halloween,Comedy,"October 7, 2020",103,5.2,English
I Am All Girls,Thriller,"May 14, 2021",107,5.8,English
I Am Not an Easy Man,Romantic comedy,"April 13, 2018",98,6.3,French
I Am the Pretty Thing That Lives in the House,Horror,"October 28, 2016",89,4.6,English
I Don't Feel at Home in This World Anymore,Drama,"February 24, 2017",96,6.9,English
I'll Sleep When I'm Dead,Documentary,"August 19, 2016",79,6.6,English
I'm No Longer Here,Drama,"May 27, 2020",105,7.3,Spanish
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,"November 3, 2020",14,7,English
I'm Thinking of Ending Things,Psychological thriller,"September 4, 2020",134,6.6,English
Ibiza,Comedy,"May 25, 2018",94,5.2,English
iBoy,Science fiction/Thriller,"January 27, 2017",90,6,English
Icarus,Documentary,"August 4, 2017",120,7.9,English
If Anything Happens I Love You,Animation / Short,"November 20, 2020",12,7.8,English
Imperial Dreams,Drama,"February 3, 2017",87,6.7,English
In the Shadow of the Moon,Thriller,"September 27, 2019",115,6.2,English
In the Tall Grass,Horror,"October 4, 2019",101,5.4,English
Into the Inferno,Documentary,"October 28, 2016",107,7.2,English
Intuition,Thriller,"May 28, 2020",116,5.3,Spanish
Invader Zim: Enter the Florpus,Animation / Science Fiction,"August 16, 2019",71,7.5,English
IO,Science fiction/Drama,"January 18, 2019",95,4.7,English
Irreplaceable You,Drama,"February 16, 2018",96,6.4,English
Isi & Ossi,Romantic comedy,"February 14, 2020",113,6.4,German
It Takes a Lunatic,Documentary,"October 25, 2019",126,6.6,English
Jingle Jangle: A Christmas Journey,Family/Christmas musical,"November 13, 2020",119,6.5,English
Joan Didion: The Center Will Not Hold,Documentary,October 27. 2017,98,7.5,English
John Mulaney & the Sack Lunch Bunch,Variety show,"December 24, 2019",70,7.5,English
John Was Trying to Contact Aliens,Documentary,"August 20, 2020",16,6.4,English
Joshua: Teenager vs. Superpower,Documentary,"May 26, 2017",78,7.1,English
Juanita,Drama,"March 8, 2019",90,6,English
June & Kopi,Drama,"January 28, 2021",90,6.3,Indonesian
Just Another Christmas,Comedy,"December 3, 2020",101,6.7,Portuguese
Just Say Yes,Romantic comedy,"April 2, 2021",97,4.5,Dutch
Justin Timberlake + The Tennessee Kids,Concert Film,"October 12, 2016",90,7.7,English
Kaali Khuhi,Mystery,"October 30, 2020",90,3.4,Hindi
Keith Richards: Under the Influence,Documentary,"September 18, 2015",81,7.1,English
Kevin Hart's Guide to Black History,Variety show,"February 8, 2019",63,5.5,English
Kingdom of Us,Documentary,"October 13, 2017",109,7,English
Klaus,Animation/Christmas/Comedy/Adventure,"November 15, 2019",97,8.2,English
Knock Down the House,Documentary,"May 1, 2019",87,7.1,English
LA Originals,Documentary,"April 10, 2020",92,7.2,English
Ladies First,Documentary,"March 8, 2018",39,7.2,English/Hindi
Laerte-se,Documentary,"May 19, 2017",100,6.9,Portuguese
Layla Majnun,Romantic drama,"February 11, 2021",119,6.4,Indonesian
Let It Snow,Romantic comedy,"November 8, 2019",92,5.8,English
Leyla Everlasting,Comedy,"December 4, 2020",112,3.7,Turkish
Life Overtakes Me,Documentary,"June 14, 2019",40,6.5,English/Swedish
Like Father,Comedy,"August 3, 2018",103,6.1,English
Lionheart,Comedy,"January 4, 2019",94,5.7,English
Little Evil,Comedy horror,"September 1, 2017",94,5.7,English
Little Miss Sumo,Documentary,"October 28, 2019",19,6.7,Japanese
Long Live Brij Mohan,Comedy,"August 3, 2018",105,6.8,Hindi
Long Shot,Documentary,"September 29, 2017",40,7.4,English
Los Tigres del Norte at Folsom Prison,Documentary,"September 15, 2019",64,7,Spanish
Lost Bullet,Thriller,"June 19, 2020",92,6.2,French
Lost Girls,Crime drama,"March 13, 2020",95,6.1,English
Loudon Wainwright III: Surviving Twin,OneManShow,"November 13, 2018",91,7.1,English
Love Like the Falling Rain,Drama,"October 15, 2020",86,5,Indonesian
Love per Square Foot,Romantic comedy,"February 14, 2018",133,7.2,Hindi
Love Wedding Repeat,Romantic comedy,"April 10, 2020",100,5.5,English
Lovefucked,Drama,"August 9, 2019",106,6,Hindi
Ludo,Anthology/Dark comedy,"November 12, 2020",149,7.6,Hindi
Lust Stories,Drama,"June 15, 2018",120,6.5,Hindi
Ma Rainey's Black Bottom,Drama,"December 18, 2020",94,7,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,"December 18, 2020",31,7,English
Madame Claude,Drama,"April 2, 2021",112,5.4,French
Malcolm & Marie,Romantic drama,"February 5, 2021",106,6.7,English
Mank,Biopic,"December 4, 2020",132,6.9,English
Marriage Story,Drama,"December 6, 2019",136,7.9,English
Mascots,Mockumentary,"October 13, 2016",95,5.8,English
Maska,Romantic comedy,"March 27, 2020",111,5.9,Hindi
Mercury 13,Documentary,"April 20, 2018",79,6.8,English
Mercy,Thriller,"November 22, 2016",90,4.2,English
Milestone,Drama,"May 7, 2021",98,6.6,Hindi
Miss Americana,Documentary,"January 31, 2020",85,7.4,English
Monster,Drama,"May 7, 2021",98,6.5,English
Mowgli: Legend of the Jungle,Adventure,"December 7, 2018",104,6.5,English
Moxie,Drama,"March 3, 2021",111,6.7,English
Mrs. Serial Killer,Thriller,"May 1, 2020",106,4.8,Hindi
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,"July 8, 2020",96,7.3,Spanish/English
Murder Mystery,Comedy mystery,"June 14, 2019",97,6,English
Murder to Mercy: The Cyntoia Brown Story,Documentary,"April 29, 2020",97,6.4,English
Music Teacher,Drama,"April 19, 2019",101,6.3,Hindi
Mute,Science fiction/Mystery,"February 23, 2018",126,5.5,English
My Beautiful Broken Brain,Documentary,"March 18, 2016",91,7.1,English
My Octopus Teacher,Documentary,"September 7, 2020",85,8.1,English
My Own Man,Documentary,"December 13, 2014",81,6.4,English
Nail Bomber: Manhunt,Documentary,"May 26, 2021",72,6.3,English
Naked,Comedy,"August 11, 2017",96,5.4,English
Nappily Ever After,Comedy-drama,"September 21, 2018",98,6.4,English
Night in Paradise,Drama,"April 9, 2021",132,6.7,Korean
Nobody Knows I'm Here,Drama,"June 24, 2020",91,6.5,Spanish
Nobody Sleeps in the Woods Tonight,Horror,"October 28, 2020",103,4.8,Polish
Nobody Speak: Trials of the Free Press,Documentary,"June 23, 2017",95,6.5,English
Notes for My Son,Drama,"November 24, 2020",83,6.3,Spanish
Notes from Dunblane: Lesson from a School Shooting,Documentary,"September 28, 2018",23,5.9,English
Octonauts & the Caves of Sac Actun,Animation,"August 14, 2020",72,6.2,English
Octonauts & the Great Barrier Reef,Animation,"October 13, 2020",47,7.3,English
Offering to the Storm,Thriller,"July 24, 2020",139,6.2,Spanish
Okja,Action-adventure,"June 28, 2017",121,7.3,English/Korean
On My Skin,Crime drama,"September 12, 2018",100,7.3,Italian
One of Us,Documentary,"October 20, 2017",95,7.1,English
One Take,Documentary,"June 18, 2020",85,5.7,Thai
One-Way to Tomorrow,Romance,"June 19, 2020",90,5.6,Turkish
Operation Christmas Drop,Romantic comedy,"November 5, 2020",96,5.8,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,"March 17, 2021",99,7,English
Otherhood,Comedy,"August 2, 2019",100,6.1,English
Our Souls at Night,Romance,"September 29, 2017",103,6.9,English
Outlaw King,Historical-epic,"November 9, 2018",121,6.9,English
Outside the Wire,Action/Science fiction,"January 15, 2021",114,5.4,English
Over the Moon,Animation/Musical/Adventure,"October 23, 2020",95,6.4,English
Oxygen,Science fiction thriller,"May 12, 2021",101,6.5,French
Paddleton,Drama-Comedy,"February 22, 2019",89,7.2,English
Pagglait,Comedy-drama,"March 26, 2021",114,6.9,Hindi
Paper Lives,Drama,"March 12, 2021",97,6.7,Turkish
Paradox,Musical/Western/Fantasy,"March 23, 2018",73,3.9,English
Parchis: The Documentary,Documentary,"July 10, 2019",106,6.7,Spanish
Paris Is Us,Romance drama,"February 22, 2019",83,4.6,French
Pee-wee's Big Holiday,Adventure,"March 18, 2016",89,6.1,English
Pele,Documentary,"February 23, 2021",108,7,English
Period. End of Sentence.,Documentary,"February 12, 2019",26,7.4,English/Hindi
Pieces of a Woman,Drama,"January 7, 2021",126,7.1,English
Point Blank,Action,"July 12, 2019",86,5.7,English
Polar,Action,"January 25, 2019",118,6.3,English
Porta dos Fundos: The First Temptation of Christ,Comedy,"December 3, 2019",46,4.6,Portuguese
Porta dos Fundos: The Last Hangover,Comedy,"December 21, 2018",44,6.3,Portuguese
Prime Time,Thriller,"April 14, 2021",91,5.7,Polish
Private Life,Drama,"October 5, 2018",124,7.2,English
Project Power,Superhero,"August 14, 2020",113,6,English
Quincy,Documentary,"September 21, 2018",124,7.6,English
Raat Akeli Hai,Thriller,"July 31, 2020",149,7.3,Hindi
Rajma Chawal,Comedy-drama,"November 30, 2018",118,5.8,Hindi
Rattlesnake,Horror,"October 25, 2019",85,4.6,English
Rebecca,Romantic thriller,"October 21, 2020",123,6,English
Rebirth,Thriller,"July 15, 2016",100,5,English
Recovery Boys,Documentary,"June 29, 2018",89,6.6,English
Red Dot,Thriller,"February 11, 2021",86,5.5,Swedish
ReMastered: Devil at the Crossroads,Documentary,"April 26, 2019",48,7,English
ReMastered: Massacre at the Stadium,Documentary,"January 11, 2019",64,7.3,English/Spanish
ReMastered: The Lion's Share,Documentary,"May 17, 2019",84,7,English
ReMastered: The Miami Showband Massacre,Documentary,"March 22, 2019",70,7,English
ReMastered: The Two Killings of Sam Cooke,Documentary,"February 8, 2019",64,7.3,English
ReMastered: Tricky Dick & the Man in Black,Documentary,"November 2, 2018",58,7.1,English
ReMastered: Who Killed Jam Master Jay?,Documentary,"December 7, 2018",58,6.6,English
ReMastered: Who Shot the Sheriff?,Documentary,"October 12, 2018",57,6.9,English
Resurface,Documentary,"September 1, 2017",27,7,English
Reversing Roe,Documentary,"September 13, 2018",99,7.5,English
Rich in Love,Romantic comedy,"April 30, 2020",105,5.8,Portuguese
Ride or Die,Psychological thriller drama,"April 15, 2021",142,5.5,Japanese
Rim of the World,Science fiction adventure,"May 24, 2019",98,5.2,English
Rising High,Satire,"April 17, 2020",94,5.8,German
Rising Phoenix,Documentary,"August 26, 2020",106,8.1,English
Road to Roma,MakingOf,"February 11, 2020",72,7.7,Spanish
Rocko's Modern Life: Static Cling,Animation / Comedy,"August 9, 2019",45,7,English
Rodney King,OneManShow,"April 28, 2017",52,5.8,English
Rogue City,Crime drama,"October 30, 2020",116,6.1,French
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,"June 12, 2019",144,7.6,English
Roma,Drama,"December 14, 2018",135,7.7,Spanish
Rooting for Roona,Documentary,"October 15, 2020",41,7.1,Bengali
Rose Island,Comedy,"December 9, 2020",117,7,Italian
Roxanne Roxanne,Biopic,"March 23, 2018",98,6.2,English
Sand Castle,War,"April 21, 2017",113,6.3,English
Sandy Wexler,Comedy,"April 14, 2017",131,5.2,English
Sarah Cooper: Everything's Fine,Variety show,"October 27, 2020",49,5.6,English
Sardar Ka Grandson,Comedy,"May 18, 2021",139,4.1,Hindi
Saving Capitalism,Documentary,"November 21, 2017",73,6.8,English
Searching for Sheela,Documentary,"April 22, 2021",58,4.1,English
Seaspiracy,Documentary,"March 24, 2021",89,8.2,English
Secret Obsession,Thriller,"July 18, 2019",97,4.4,English
Secrets of the Saqqara Tomb,Documentary,"October 28, 2020",114,7.3,English/Arabic
See You Yesterday,Science fiction,"May 17, 2019",87,5.2,English
Seeing Allred,Documentary,"February 9, 2018",95,6.9,English
Sentinelle,Action,"March 5, 2021",80,4.7,French
Sergio,Biopic,"April 17, 2020",118,6.1,English
Serious Men,Drama,"October 2, 2020",114,6.8,Hindi
Seriously Single,Comedy,"July 31, 2020",107,4.5,English
Set It Up,Romantic comedy,"June 15, 2018",105,6.5,English
Seventeen,comedy-drama,"October 18, 2019",99,7.2,Spanish
Sextuplets,Comedy,"August 16, 2019",99,4.4,English
Shawn Mendes: In Wonder,Documentary,"November 23, 2020",83,6.6,English
Shawn Mendes: Live in Concert,Concert Film,"November 25, 2020",87,7.4,English
Shimmer Lake,Crime thriller,"June 9, 2017",86,6.3,English
Shirkers,Documentary,"October 26, 2018",97,7.4,English
Sierra Burgess Is a Loser,Romantic comedy-drama,"September 7, 2018",105,5.8,English
Sitara: Let Girls Dream,Animation / Short,"March 8, 2020",15,7.3,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,"October 14, 2016",79,7.3,English/Mandarin
Small Crimes,Dark comedy,"April 28, 2017",95,5.8,English
Sol Levante,Anime / Short,"April 2, 2020",4,4.7,English
Someone Great,Romantic comedy,"April 19, 2019",92,6.2,English
Sometimes,Drama,"May 1, 2018",101,7.2,Tamil
Soni,Crime drama,"January 18, 2019",97,7.2,Hindi
Space Sweepers,Science fiction,"February 5, 2021",136,6.6,Korean
Special Correspondents,Satire,"April 29, 2016",100,5.8,English
Spectral,Science fiction/Action,"December 9, 2016",108,6.3,English
Spelling the Dream,Documentary,"June 3, 2020",83,6.9,English
Spenser Confidential,Action comedy,"March 6, 2020",111,6.2,English
